Lat,Long,Municipio,AreaKm2,Desmatado2013,Incremento20122013,Floresta2013,NaoObservado2013,NaoFloresta2013,Hidrografia2013,Soma ,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,96.0,0.8,89.0,0.1,1689.6,1000.4,99,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,342.5,2.3,20384.4,1.0,423.0,646.4,100,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,247.2,0.6,3118.5,0.8,100.3,431.8,100,"['Maraa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,83.8,0.1,1502.6,2.1,67.4,315.7,99,"['Japura', 'Santo Antonio do Ica', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,642.9,1.9,14723.7,3.4,168.9,724.7,100,"['Tapaua', 'Maraa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,320.3,3.4,83192.9,3.3,2161.1,1501.4,99,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,158.6,0.3,687.4,20.1,1.3,52.0,100,"['Benjamin Constant', 'Santo Antonio do Ica', 'Sao Paulo de Olivenca']",False
-2.85099,-58.49614,Silves,3758,434.2,0.8,1840.0,0.5,128.7,598.7,99,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,210.3,4.0,7006.9,0.7,65.7,625.8,100,"['Urucara', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,178.7,1.0,13980.9,1.4,86.3,587.8,100,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Ica', 'Amatura']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1203.8,1.4,40545.8,359.6,489.6,1482.3,100,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,137.6,0.2,4046.0,49.1,90.4,451.3,100,"['Sao Paulo de Olivenca', 'Tabatinga', 'Amatura', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,216.8,0.2,36557.3,68.7,950.8,628.3,100,"['Sao Gabriel da Cachoeira', 'Japura', 'Maraa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,574.1,0.6,4929.4,1.4,0.0,10.3,100,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",False
-0.65847,-60.17004,Presidente Figueiredo,25568,739.1,4.1,17591.3,5.1,1.1,3421.8,99,"['Rio Preto da Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucara']",True
-7.76452,-68.19675,Pauini,42877,239.7,4.6,39980.1,2.7,23.7,261.8,100,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,971.9,3.7,970.3,0.7,1133.2,2281.2,99,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,976.0,42.5,37281.7,28.4,1620.2,742.6,99,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,119.0,0.6,17999.3,0.7,211.9,1358.7,99,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
-4.02487,-58.58633,Nova Olinda do Norte,5625,422.1,0.8,2071.0,1.1,281.0,431.0,99,"['Borba', 'Maues', 'Autazes', 'Itacoatiara']",False
-1.08094,-58.4439,Nhamunda,14132,483.6,2.6,9984.9,1.7,344.4,1107.8,100,"['Urucara', 'Urucurituba', 'Parintins', 'Maues']",False
-5.24148,-58.19462,Maues,40090,1343.3,15.7,34935.3,3.4,872.3,1294.9,100,"['Apui', 'Borba', 'Itacoatiara', 'Boa Vista do Ramos', 'Barreirinha', 'Nova Olinda do Norte']",True
-2.61234,-64.70305,Maraa,17221,117.1,1.2,10215.2,5.6,604.6,1846.7,99,"['Fonte Boa', 'Japura', 'Santa Isabel do Rio Negro', 'Barcelos', 'Codajas', 'Coari', 'Tefe', 'Uarini']",False
-6.78709,-61.11001,Manicore,48689,1722.2,43.0,41944.5,18.3,4146.5,826.8,100,"['Humaita', 'Tapaua', 'Beruri', 'Borba', 'Novo Aripuana']",True
-2.5729,-60.37242,Manaus,11473,1254.5,2.3,8627.8,0.8,3.0,1547.8,100,"['Manacapuru', 'Itacoatiara', 'Careiro', 'Careiro da Varzea', 'Iranduba', 'Manacapuru', 'Novo Airao', 'Presidente Figueiredo', 'Rio Preto da Eva']",True
-3.73889,-60.65552,Manaquiri,4001,495.3,0.7,2895.0,0.5,106.3,287.1,100,"['Manacapuru', 'Borba', 'Beruri', 'Iranduba', 'Manaus', 'Careiro']",False
-3.27671,-60.71178,Manacapuru,7381,794.3,1.8,3970.2,1.1,805.6,1423.0,99,"['Novo Airao', 'Caapiranga', 'Anama', 'Anori', 'Beruri', 'Manaquiri', 'Iranduba', 'Manaus']",True
-8.38295,-65.70994,Labrea,69672,3480.6,126.2,63488.9,9.5,1793.3,445.9,100,"['Boca do Acre', 'Pauini', 'Itamarati', 'Tapaua', 'Canutama']",True
-4.50575,-68.24058,Jutai,71756,239.4,1.5,55874.1,9.9,97.6,1161.5,100,"['Itamarati', 'Eirunepe', 'Benjamin Constant', 'Sao Paulo de Olivenca', 'Amatura', 'Santo Antonio do Ica', 'Tonantins', 'Fonte Boa', 'Jurua', 'Carauari']",False
