Lat,Long,Municipio,AreaKm2,Desmatado2014,Incremento20132014,Soma ,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,96.8,0.8,100,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,344.0,1.5,100,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,255.9,8.7,100,"['Maraa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,85.0,1.3,99,"['Japura', 'Santo Antonio do Ica', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,658.6,15.7,100,"['Tapaua', 'Maraa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,323.2,2.9,100,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,162.4,3.8,100,"['Benjamin Constant', 'Santo Antonio do Ica', 'Sao Paulo de Olivenca']",False
-2.85099,-58.49614,Silves,3758,435.5,1.3,99,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,215.0,4.7,100,"['Urucara', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,179.8,1.2,100,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Ica', 'Amatura']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1205.8,1.9,100,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,139.6,2.0,99,"['Sao Paulo de Olivenca', 'Tabatinga', 'Amatura', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,217.8,0.9,100,"['Sao Gabriel da Cachoeira', 'Japura', 'Maraa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,575.3,1.2,100,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",False
-0.65847,-60.17004,Presidente Figueiredo,25568,745.6,6.5,99,"['Rio Preto da Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucara']",True
-7.76452,-68.19675,Pauini,42877,249.5,9.8,100,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,977.4,5.6,100,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,1001.8,25.9,100,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,120.3,1.3,100,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
-4.02487,-58.58633,Nova Olinda do Norte,5625,424.6,2.5,100,"['Borba', 'Maues', 'Autazes', 'Itacoatiara']",False
-1.08094,-58.4439,Nhamunda,14132,486.3,2.7,100,"['Urucara', 'Urucurituba', 'Parintins', 'Maues']",False
