Lat,Long,Municipio,AreaKm2,Desmatado2008,Incremento20072008,Floresta2008,NaoObservado2008,NaoFloresta2008,Hidrografia2008,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,93.6,0.6,129.7,0.3,1689.6,1000.4,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,332.2,2.1,25340.2,2.2,423.0,646.4,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,239.0,6.8,9494.4,2.2,100.3,431.8,"['Manaa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,81.0,0.3,5030.5,2.1,67.4,315.7,"['Japura', 'Santo Antonio do Iça', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,620.7,10.1,22033.7,3.8,168.9,724.7,"['Tapaua', 'Manaa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,304.8,3.5,84286.6,1.9,2161.1,1501.4,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,154.5,1.1,834.5,36.6,1.3,52.0,"['Benjamin Constant', 'Santo Antonio do Iça', 'Sao Paulo de Olivença']",False
-2.85099,-58.49614,Silves,3758,426.4,2.8,2192.6,1.1,128.7,598.7,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,195.6,5.5,7983.6,2.2,65.7,625.8,"['Urucura', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,174.6,0.3,13082.3,3.2,86.3,587.8,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Iça', 'Amatur']",False
