Lat,Long,Municipio,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma ,Fronteiras,MaiorQueAMédia
-2.8349,-57.83095,Urucurituba,2915,97.0,0.2,128.0,0.0,1689.6,1000.4,100,"['Boa Vista do Ramos', 'Barreirinha', 'Itapiranga', 'Itacoatiara', 'Parintins', 'Urucara', 'Silves', 'Nhamunda']",False
-1.24938,-58.78714,Urucara,28012,344.3,0.4,24400.7,0.0,423.0,646.4,100,"['Nhamunda', 'Urucurituba', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Presidente Figueiredo']",False
-3.20648,-65.43058,Uarini,10448,256.4,0.5,9637.5,0.0,100.3,431.8,99,"['Manaa', 'Fonte Boa', 'Jurua', 'Alvaraes', 'Tefe']",False
-2.57583,-67.47268,Tonantins,6619,85.0,0.0,3539.7,0.0,67.4,315.7,100,"['Japura', 'Santo Antonio do Iça', 'Fonte Boa', 'Jutai']",False
-4.41301,-65.57764,Tefe,24186,660.8,2.2,22576.5,0.0,168.9,724.7,100,"['Tapaua', 'Manaa', 'Carauari', 'Jurua', 'Alvaraes', 'Uarini']",True
-5.93398,-65.97188,Tapaua,90962,323.9,0.7,86725.9,0.0,2161.1,1501.4,100,"['Itamarati', 'Pauini', 'Labrea', 'Canutama', 'Carauari', 'Tefe', 'Coari', 'Anori', 'Beruri', 'Manicore', 'Humaita']",False
-4.02878,-69.69786,Tabatinga,3343,162.6,0.2,3031.1,0.0,1.3,52.0,100,"['Benjamin Constant', 'Santo Antonio do Iça', 'Sao Paulo de Olivença']",False
-2.85099,-58.49614,Silves,3758,436.2,0.7,2520.2,0.0,128.7,598.7,99,"['Urucurituba', 'Itacoatiara', 'Itapiranga']",False
-1.89625,-58.81001,Sao Sebastiao do Uatuma,10776,216.8,1.7,8704.5,0.0,65.7,625.8,100,"['Urucura', 'Presidente Figueiredo', 'Itapiranga']",False
-4.73714,-69.52392,Sao Paulo de Olivenca,20467,180.1,0.3,16741.8,0.0,86.3,587.8,100,"['Benjamin Constant', 'Jutai', 'Tabatinga', 'Santo Antonio do Iça', 'Amatur']",False
0.35952,-68.17017,Sao Gabriel da Cachoeira,112476,1206.3,0.6,83916.6,0.0,489.6,1482.3,100,"['Japura', 'Santa Isabel do Rio Negro']",True
-3.08079,-69.06723,Santo Antonio do Ica,12737,139.6,0.1,9350.8,0.0,90.4,451.3,99,"['Sao Paulo de Olivença', 'Tabatinga', 'Amatur', 'Tonantins', 'Jutai', 'Japura']",False
-0.25129,-64.98731,Santa Isabel do Rio Negro,64130,218.3,0.5,57760.7,0.0,950.8,628.3,100,"['Sao Gabriel da Cachoeira', 'Japura', 'Manaa', 'Barcelos']",False
-2.50853,-59.60122,Rio Preto da Eva,5838,576.9,1.6,5227.6,0.0,0.0,10.3,100,"['Itacoatiara', 'Manaus', 'Itapiranga', 'Presidente Figueiredo']",False
-0.65847,-60.17004,Presidente Figueiredo,25568,752.9,7.3,21162.0,0.0,1.1,3421.8,99,"['Rio Preto de Eva', 'Manaus', 'Novo Airao', 'Itapiranga', 'Sao Sebastiao do Uatuma', 'Urucua']",True
-7.76452,-68.19675,Pauini,42877,256.1,6.6,42213.6,0.0,23.7,261.8,100,"['Boca do Acre', 'Envira', 'Itamarati', 'Eirunepe', 'Tapaua', 'Labrea']",False
-2.78735,-56.68566,Parintins,5958,980.6,3.2,1542.6,0.0,1133.2,2281.2,100,"['Nhamunda', 'Urucurituba', 'Barreirinha']",True
-6.83379,-60.23604,Novo Aripuana,41452,1055.2,53.4,38021.5,0.0,1620.2,742.6,100,"['Manicore', 'Apui', 'Borba']",True
-1.51628,-61.51599,Novo Airao,38114,120.9,0.6,35983.1,0.0,211.9,1358.7,100,"['Barcelos', 'Codajas', 'Caapiranga', 'Manacapuru', 'Manaus', 'Presidente Figueiredo']",False
-4.02487,-58.58633,Nova Olinda do Norte,5625,430.5,5.9,4379.8,0.0,281.0,431.0,100,"['Borba', 'Maues', 'Autazes', 'Itacoatiara']",False
-1.08094,-58.4439,Nhamunda,14132,491.1,4.8,11436.4,0.0,344.4,1107.8,100,"['Urucura', 'Urucurituba', 'Parintins', 'Maues']",False
-5.24148,-58.19462,Maues,40090,1366.7,9.8,35540.8,0.0,872.3,1294.9,100,"['Apui', 'Borba', 'Itacoatiara', 'Boa Vista do Ramos', 'Barreirinha', 'Nova Olinda do Norte']",True
-2.61234,-64.70305,Maraa,17221,119.3,0.1,13690.3,0.0,604.6,1846.7,100,"['Fonte boa', 'Japura', 'Santa Izabel do Rio Negro', 'Barcelos', 'Codajas', 'Coari', 'Tefe', 'Uarini']",False
-6.78709,-61.11001,Manicore,48689,1824.9,73.4,41824.6,0.0,4146.5,826.8,100,"['Humaita', 'Tapaua', 'Beruri', 'Borba', 'Novo Aripuana']",True
-2.5729,-60.37242,Manaus,11473,1258.4,1.8,8619.2,0.0,3.0,1547.8,100,"['Manacapuru', 'Itacoatiara', 'Careiro', 'Careiro da Varzea', 'Iranduba', 'Manacapuru', 'Novo Airao', 'Presidente Figueiredo', 'Rio Preto da Eva']",True
-3.73889,-60.65552,Manaquiri,4001,498.5,3.1,3109.1,0.0,106.3,287.1,100,"['Manacapuru', 'Borba', 'Beruri', 'Iranduba', 'Manaus', 'Careiro']",False
-3.27671,-60.71178,Manacapuru,7381,805.8,7.9,4345.9,0.0,805.6,1423.0,100,"['Novo Airao', 'Caapiranga', 'Anama', 'Anori', 'Beruri', 'Manaquiri', 'Iranduba', 'Manaus']",True
-8.38295,-65.70994,Labrea,69672,3858.7,242.6,63055.9,0.0,1793.3,445.9,99,"['Boca do Acre', 'Pauini', 'Itamarati', 'Tapaua', 'Canutama']",True
-4.50575,-68.24058,Jutai,71756,243.2,1.1,66680.6,0.0,97.6,1161.5,100,"['Itamarati', 'Eirunepe', 'Benjamin Constant', 'Sao Paulo de Olivença', 'Amatur', 'Santo Antonio do Iça', 'Tonantins', 'Fonte Boa', 'Jurua', 'Carauari']",False
-3.37471,-66.45025,Jurua,19849,153.3,0.2,17497.5,0.0,142.1,733.2,99,"['Carauari', 'Jutai', 'Fonte Boa', 'Uarini', 'Alvaraes', 'Tefe']",False
-1.38598,-68.79404,Japura,57555,59.0,0.0,39478.5,0.0,2.6,1520.2,99,"['Santo Antonio de Iça', ' Tonantins', 'Fonte Boa', 'Manaa', 'Santa Isabel do Rio Negro', ' Sao Gabriel de Cachoeira']",False
-2.54458,-58.65656,Itapiranga,4245,140.2,0.8,3587.9,0.0,155.6,172.4,100,"['Presidente Figueiredo', 'Sao Sebastiao do Uatuma', 'Urucura', 'Urucurituba', 'Silves', 'Rio Preto de Eva', 'Itacoatiara']",False
-6.72683,-67.90389,Itamarati,26042,133.3,1.0,23167.1,0.0,3.3,288.5,100,"['Envira', 'Eirunepe', 'Jutai', 'Carauari', 'Tapua', 'Labrea', 'Pauini']",False
-3.13511,-58.81276,Itacoatiara,8927,1761.6,6.0,4554.5,0.0,829.3,1665.6,99,"['Autazes', 'Careiro da Varzea', 'Maues', 'Rio Preto da Eva', 'Nova Olinda do Norte', 'Manaus', 'Silves', 'Itapiranga', 'Urucurituba', 'Boa Vista do Ramos']",True
-3.08591,-60.66479,Iranduba,2229,491.5,3.7,1300.8,0.0,132.9,303.8,99,"['Novo Airao', 'Careiro', 'Careiro da Varzea', 'Manacapuru', 'Manaquiri', 'Manaus']",False
-7.14334,-71.42004,Ipixuna,12595,234.3,4.5,11208.7,0.0,66.6,70.2,100,"['Eirunepe', 'Benjamin Constant', 'Atalaia do Norte', 'Guajara']",False
-7.51084,-62.5992,Humaita,33428,727.7,9.1,28798.5,0.0,3116.3,784.2,100,"['Canutama', 'Tapaua', 'Manicore']",True
-7.25158,-72.74345,Guajara,7984,489.5,4.7,7120.9,0.0,206.9,7.2,100,"['Atalaia do Norte', 'Ipixuna']",False
-2.54594,-66.9133,Fonte Boa,12392,103.5,0.8,10247.0,0.0,154.1,812.5,100,"['Jutai', 'Jurua', 'Tonantins', 'Japura', 'Manaa', 'Uarini']",False
-7.61678,-70.19515,Envira,7793,295.9,5.4,7285.1,0.0,0.1,62.8,100,"['Pauini', 'Itamarati', 'Eirunepe']",False
-7.04074,-70.12601,Eirunepe,15608,381.5,0.1,14362.8,0.0,172.1,181.7,99,"['Benjamin Constant', 'Ipixuna', 'Envira', 'Itamarati', 'Jutai', 'Pauini']",False
-3.12907,-63.20401,Codajas,18944,267.8,1.0,15996.1,0.0,729.2,1440.8,99,"['Anama', 'Anori', 'Coari', 'Manaa', 'Barcelos', 'Novo Airao', 'Caapiranga']",False
-4.03545,-63.53466,Coari,58828,780.1,0.7,54119.8,0.0,823.1,2761.8,100,"['Manaa', 'Codajas', 'Tefe', 'Tapua', 'Anori', 'Barcelos']",True
-3.30477,-59.55597,Careiro da Varzea,2641,547.5,9.5,691.4,0.0,707.8,628.0,100,"['Iranduba', 'Careiro', 'Manaus', 'Itacoatiara', 'Autazes']",False
-3.749,-60.14701,Careiro,6127,1125.4,5.1,4598.7,0.0,80.7,316.9,100,"['Iranduba', 'Manacapuru', 'Manaquiri', 'Borba', 'Autazes', 'Careiro da Varzea', 'Manaus']",True
-5.17242,-67.49476,Carauari,26469,295.1,0.3,25741.3,0.0,12.7,399.9,100,"['Tefe', 'Alvaraes', 'Jurua', 'Jutai', 'Itamarati', 'Tapua']",False
-7.45596,-63.90278,Canutama,30278,1052.9,14.5,27711.9,0.0,988.3,296.8,99,"['Labrea', 'Tapaua', 'Humaita']",True
-3.0546,-61.93934,Caapiranga,9550,246.6,3.7,8498.3,0.0,181.9,427.6,100,"['Anama', 'Manacapuru', 'Novo Airao', 'Codajas']",False
-5.33176,-59.23777,Borba,44452,546.6,4.2,41021.9,0.0,586.5,1838.7,100,"['Maues', 'Nova Olinda do Norte', 'Autazes', 'Careiro', 'Manaquiri', 'Beruri', 'Manicore', 'Novo Aripuana', 'Apui']",False
-8.81858,-68.00168,Boca do Acre,22595,2320.1,47.5,20062.2,0.0,58.4,124.0,100,"['Pauini', 'Labrea']",True
-3.15669,-57.90464,Boa Vista do Ramos,2588,208.3,0.5,1121.0,0.0,852.8,405.7,100,"['Maues', 'Barreirinha', 'Urucurituba', 'Itacoatiara']",False
-4.54242,-61.73805,Beruri,17411,220.5,2.5,15152.4,0.0,886.1,572.8,100,"['Manicore', 'Tapua', 'Anori', 'Anama', 'Manacapuru', 'Manaquiri']",False
-5.49767,-70.32124,Benjamin Constant,9146,191.8,1.1,8310.5,0.0,0.0,204.8,99,"['Atalaia do Norte', 'Ipixuna', 'Eirunepe', 'Jutai', 'Sao Paulo de Olivença', 'Tabatinga']",False
-3.13292,-57.23915,Barreirinha,5760,801.2,5.7,3592.4,0.0,408.6,956.1,100,"['Maues', 'Boa Vista do Ramos', 'Urucurituba', 'Parintins']",True
-0.14071,-63.18572,Barcelos,124163,206.9,0.3,94926.4,0.0,17060.1,4499.9,100,"['Santa Isabel do Rio Negro', 'Novo Airao', 'Manaa', 'Codajas', 'Coari']",False
-3.83163,-59.45109,Autazes,7636,1304.0,23.2,4836.4,0.0,464.3,1015.9,100,"['Manaus', 'Careiro', 'Careiro da Varzea', 'Borba', 'Itacoatiara', 'Nova Olinda do Norte']",True
-5.67098,-71.72825,Atalaia do Norte,80005,242.4,0.1,74613.8,0.0,16.5,395.9,99,"['Benjamim Constant', 'Guajara', 'Ipixuna']",False
-7.59202,-59.44152,Apui,54490,2128.3,107.2,51532.5,0.0,625.0,204.2,100,"['Novo Aripuana', 'Borba', 'Maues']",True
-4.15477,-62.08065,Anori,5852,82.8,0.6,4190.2,0.0,640.6,434.7,100,"['Beruri', 'Tapua', 'Coari', 'Codajas', 'Anama']",False
-3.47332,-61.6709,Anama,2473,200.7,1.0,1764.7,0.0,34.6,219.0,100,"['Manacapuru', 'Beruri', ' Anori', 'Codajas', 'Caapiranga']",False
-3.42104,-68.34925,Amatura,4903,115.8,0.6,2993.1,0.0,222.4,213.6,100,"['Sao Paulo de OLivença', 'Jutai', 'Santo Antonio do Iça']",False
-3.67425,-65.34586,Alvaraes,6027,330.1,0.6,5415.1,0.0,38.0,127.6,100,"['Tefe', 'Carauari', 'Jurua', 'Uarini']",False
